,answer,image_filename,image_id,image_index,image_url,qa_id,question,question_error,question_error_closest_match,question_error_correction,question_error_correction_answer,question_error_new_question,question_is_premise_true
198,On motorcycle.,2401522.jpg,2396654,25114,https://cs.stanford.edu/people/rak248/VG_100K_2/2396654.jpg,1245840,Where is the wheels?,,,,,,
199,Sand.,2403567.jpg,2396654,25114,https://cs.stanford.edu/people/rak248/VG_100K_2/2396654.jpg,1285596,What is the horse standing on?,,,,,,
200,Close together.,2342278.jpg,2396654,25114,https://cs.stanford.edu/people/rak248/VG_100K_2/2396654.jpg,393812,How are they standing?,,,,,,
201,A wall.,2409290.jpg,2396643,25125,https://cs.stanford.edu/people/rak248/VG_100K_2/2396643.jpg,1079014,What is to right of escalator?,,,,,,
202,Two.,2413736.jpg,2396643,25125,https://cs.stanford.edu/people/rak248/VG_100K_2/2396643.jpg,1012954,How many candy bars are in the picture?,,,,,,
203,Counter.,2414051.jpg,2396643,25125,https://cs.stanford.edu/people/rak248/VG_100K_2/2396643.jpg,1023023,Where is the plate sitting?,,,,,,
204,Toy bear.,2411105.jpg,2396351,25405,https://cs.stanford.edu/people/rak248/VG_100K_2/2396351.jpg,1322723,Who is wearing glasses?,,,,,,
205,Trees.,2391612.jpg,2396351,25405,https://cs.stanford.edu/people/rak248/VG_100K_2/2396351.jpg,1363750,What tall green things are growing in the field?,,,,,,
206,The tree.,2411098.jpg,2396351,25405,https://cs.stanford.edu/people/rak248/VG_100K_2/2396351.jpg,1322582,What is between the giraffes?,,,,,,
207,Eating animals.,2389657.jpg,2396350,25406,https://cs.stanford.edu/people/rak248/VG_100K_2/2396350.jpg,1353116,What does the sticker under the word STOP say?,,,,,,
208,Cow.,2365947.jpg,2396350,25406,https://cs.stanford.edu/people/rak248/VG_100K_2/2396350.jpg,1751694,What animal is shown?,,,,,,
209,The airport.,2369814.jpg,2396350,25406,https://cs.stanford.edu/people/rak248/VG_100K_2/2396350.jpg,1830826,Where this picture was taken?,,,,,,
210,A kitten.,2358583.jpg,2396275,25477,https://cs.stanford.edu/people/rak248/VG_100K_2/2396275.jpg,252783,What animal is pictured on the refrigerator?,,,,,,
211,The chain.,2378952.jpg,2396275,25477,https://cs.stanford.edu/people/rak248/VG_100K_2/2396275.jpg,556398,What controlling the elephant from running away?,,,,,,
212,Station.,2391232.jpg,2396275,25477,https://cs.stanford.edu/people/rak248/VG_100K_2/2396275.jpg,1361867,Where is the train parked waiting for passengers?,,,,,,
213,The sky.,2391490.jpg,2396123,25622,https://cs.stanford.edu/people/rak248/VG_100K_2/2396123.jpg,1363119,What is crystal clear?,,,,,,
214,In the container.,2407959.jpg,2396123,25622,https://cs.stanford.edu/people/rak248/VG_100K_2/2396123.jpg,1049368,Where is the broccoli?,,,,,,
215,A vase with flowers.,2400680.jpg,2396123,25622,https://cs.stanford.edu/people/rak248/VG_100K_2/2396123.jpg,282512,What is shown in the picture?,,,,,,
216,Two.,2411999.jpg,2396096,25648,https://cs.stanford.edu/people/rak248/VG_100K_2/2396096.jpg,1115113,How many clocks are visible?,,,,,,
217,Shelf.,2332618.jpg,2396096,25648,https://cs.stanford.edu/people/rak248/VG_100K_2/2396096.jpg,401542,What is shown in the mirror?,,,,,,
218,Table.,2393917.jpg,2396096,25648,https://cs.stanford.edu/people/rak248/VG_100K_2/2396096.jpg,1502656,What are the objects resting on?,,,,,,
219,Flush.,2400518.jpg,2396081,25663,https://cs.stanford.edu/people/rak248/VG_100K_2/2396081.jpg,1223643,What button is above the urinal?,,,,,,
220,The bear.,2362220.jpg,2396081,25663,https://cs.stanford.edu/people/rak248/VG_100K_2/2396081.jpg,1676886,What is brown and fuzzy?,,,,,,
221,Green.,2412284.jpg,2396081,25663,https://cs.stanford.edu/people/rak248/VG_100K_2/2396081.jpg,1121374,What color is the cloth in front of the fence?,,,,,,
222,The baseball catcher.,2375605.jpg,2396044,25696,https://cs.stanford.edu/people/rak248/VG_100K_2/2396044.jpg,1949264,Who is wearing a red jersey?,,,,,,
223,Nothing.,2374051.jpg,2396044,25696,https://cs.stanford.edu/people/rak248/VG_100K_2/2396044.jpg,1918657,What is the object doing?,,,,,,
224,In a train.,2401783.jpg,2396044,25696,https://cs.stanford.edu/people/rak248/VG_100K_2/2396044.jpg,1250910,Where is this picture taken?,,,,,,
225,Outside.,2392118.jpg,2395951,25783,https://cs.stanford.edu/people/rak248/VG_100K_2/2395951.jpg,353939,Where was this picture taken?,,,,,,
226,Brown and white.,2358768.jpg,2395951,25783,https://cs.stanford.edu/people/rak248/VG_100K_2/2395951.jpg,636451,What is the color of the cake?,,,,,,
227,In front.,2363936.jpg,2395951,25783,https://cs.stanford.edu/people/rak248/VG_100K_2/2395951.jpg,1711573,Where is the white horse?,,,,,,
228,Left hand.,2370306.jpg,2395947,25787,https://cs.stanford.edu/people/rak248/VG_100K_2/2395947.jpg,1840060,What hand is coming around another man?,,,,,,
229,Behind the horses.,150384.jpg,2395947,25787,https://cs.stanford.edu/people/rak248/VG_100K_2/2395947.jpg,1002643,Where are the trees?,,,,,,
230,Running down through the creek.,2402402.jpg,2395947,25787,https://cs.stanford.edu/people/rak248/VG_100K_2/2395947.jpg,1261696,Where is the water?,,,,,,
231,Glasses.,2373341.jpg,2395846,25878,https://cs.stanford.edu/people/rak248/VG_100K_2/2395846.jpg,1903921,What is on the man's face?,,,,,,
232,At a park.,2367944.jpg,2395846,25878,https://cs.stanford.edu/people/rak248/VG_100K_2/2395846.jpg,1791900,Where was the photo taken?,,,,,,
233,Stop.,2408502.jpg,2395846,25878,https://cs.stanford.edu/people/rak248/VG_100K_2/2395846.jpg,1061343,What is the word?,,,,,,
234,Little girl.,2365317.jpg,2395763,25956,https://cs.stanford.edu/people/rak248/VG_100K_2/2395763.jpg,1739382,Who is wearing blue and white striped sweater?,,,,,,
235,Day time.,2404355.jpg,2395763,25956,https://cs.stanford.edu/people/rak248/VG_100K_2/2395763.jpg,473196,When was the photo taken?,,,,,,
236,Sky.,2368313.jpg,2395763,25956,https://cs.stanford.edu/people/rak248/VG_100K_2/2395763.jpg,564897,What is black?,,,,,,
237,Snow.,2398689.jpg,2395653,26057,https://cs.stanford.edu/people/rak248/VG_100K_2/2395653.jpg,1593284,What is on the ground?,,,,,,
238,Ancient pottery.,2388826.jpg,2395653,26057,https://cs.stanford.edu/people/rak248/VG_100K_2/2395653.jpg,1415407,What is on display?,,,,,,
239,In the street.,2365052.jpg,2395653,26057,https://cs.stanford.edu/people/rak248/VG_100K_2/2395653.jpg,567513,Where is the moving car?,,,,,,
240,On top of the side gables.,2329229.jpg,2395617,26089,https://cs.stanford.edu/people/rak248/VG_100K_2/2395617.jpg,660057,Where are the crosses?,,,,,,
241,Two.,150300.jpg,2395617,26089,https://cs.stanford.edu/people/rak248/VG_100K_2/2395617.jpg,999795,How many trains are there?,,,,,,
242,Drying dishes.,2401620.jpg,2395617,26089,https://cs.stanford.edu/people/rak248/VG_100K_2/2395617.jpg,281878,What is the plastic container to the right of the sink for?,,,,,,
243,Reaching for leaves.,2397822.jpg,2395610,26095,https://cs.stanford.edu/people/rak248/VG_100K_2/2395610.jpg,1587951,What is the elephant doing?,,,,,,
244,Public.,2396924.jpg,2395610,26095,https://cs.stanford.edu/people/rak248/VG_100K_2/2395610.jpg,1517944,What type of property is this probably?,,,,,,
245,Daylight hours.,2366864.jpg,2395610,26095,https://cs.stanford.edu/people/rak248/VG_100K_2/2395610.jpg,1770104,When was this photo taken?,,,,,,
246,Green.,2411041.jpg,2395462,26236,https://cs.stanford.edu/people/rak248/VG_100K_2/2395462.jpg,168058,What color is the bus?,,,,,,
247,1.,2414209.jpg,2395462,26236,https://cs.stanford.edu/people/rak248/VG_100K_2/2395462.jpg,1019995,How many carpets are there?,,,,,,
248,Blue.,2379339.jpg,2395462,26236,https://cs.stanford.edu/people/rak248/VG_100K_2/2395462.jpg,364157,What color is the sky?,,,,,,
249,2.,2334374.jpg,2395428,26266,https://cs.stanford.edu/people/rak248/VG_100K_2/2395428.jpg,528080,How many dogs are riding behind motorcycle?,,,,,,
250,Two.,2366757.jpg,2395428,26266,https://cs.stanford.edu/people/rak248/VG_100K_2/2395428.jpg,437997,How many toilets are on the sidewalk?,,,,,,
251,Blue.,2412027.jpg,2395428,26266,https://cs.stanford.edu/people/rak248/VG_100K_2/2395428.jpg,1115687,What is the color of the sky?,,,,,,
252,Right.,2363096.jpg,2395292,26395,https://cs.stanford.edu/people/rak248/VG_100K_2/2395292.jpg,1694475,Where is the man facing?,,,,,,
253,A wooden fence.,2398134.jpg,2395292,26395,https://cs.stanford.edu/people/rak248/VG_100K_2/2395292.jpg,1398688,What are the elephants behind?,,,,,,
254,A zebra.,2371584.jpg,2395292,26395,https://cs.stanford.edu/people/rak248/VG_100K_2/2395292.jpg,1866664,What is the animal?,,,,,,
255,Plants.,2372050.jpg,2395236,26448,https://cs.stanford.edu/people/rak248/VG_100K_2/2395236.jpg,1876425,What type of foliage?,,,,,,
256,Parked.,2400454.jpg,2395236,26448,https://cs.stanford.edu/people/rak248/VG_100K_2/2395236.jpg,475413,Where are the planes?,,,,,,
257,Chinese with scallions.,2414923.jpg,2395236,26448,https://cs.stanford.edu/people/rak248/VG_100K_2/2395236.jpg,1033595,What type of dish is this?,,,,,,
258,1.,2340020.jpg,2395185,26498,https://cs.stanford.edu/people/rak248/VG_100K_2/2395185.jpg,331637,How many sinks are in this picture?,,,,,,
259,One.,2335433.jpg,2395185,26498,https://cs.stanford.edu/people/rak248/VG_100K_2/2395185.jpg,591149,How many people are shown?,,,,,,
260,Green.,2406880.jpg,2395185,26498,https://cs.stanford.edu/people/rak248/VG_100K_2/2395185.jpg,1194791,What color are bananas?,,,,,,
261,Bench.,2363273.jpg,2395042,26636,https://cs.stanford.edu/people/rak248/VG_100K_2/2395042.jpg,568929,What are the dogs sitting on?,,,,,,
262,Food.,2358651.jpg,2395042,26636,https://cs.stanford.edu/people/rak248/VG_100K_2/2395042.jpg,1605372,What is the yellow book with bold print about?,,,,,,
263,Stone.,2380570.jpg,2395042,26636,https://cs.stanford.edu/people/rak248/VG_100K_2/2395042.jpg,682995,What is the building made of?,,,,,,
264,Big Ben.,2390455.jpg,2394937,26733,https://cs.stanford.edu/people/rak248/VG_100K_2/2394937.jpg,1424324,What is the nickname of this clock?,,,,,,
265,Two.,2361573.jpg,2394937,26733,https://cs.stanford.edu/people/rak248/VG_100K_2/2394937.jpg,570284,How many women are in this photo?,,,,,,
266,In the room.,2392676.jpg,2394937,26733,https://cs.stanford.edu/people/rak248/VG_100K_2/2394937.jpg,1435528,Where is the bed?,,,,,,
267,On a slope.,2361600.jpg,2394813,26847,https://cs.stanford.edu/people/rak248/VG_100K_2/2394813.jpg,314372,Where is the woman?,,,,,,
268,Driving.,2331523.jpg,2394813,26847,https://cs.stanford.edu/people/rak248/VG_100K_2/2394813.jpg,274205,What is this man doing?,,,,,,
269,"White, blue, and orange.",2391548.jpg,2394813,26847,https://cs.stanford.edu/people/rak248/VG_100K_2/2394813.jpg,610224,What color is the book cover?,,,,,,
270,White.,2362333.jpg,2394806,26854,https://cs.stanford.edu/people/rak248/VG_100K_2/2394806.jpg,1679142,What is the hue of the parked cars?,,,,,,
271,White rug.,2404384.jpg,2394806,26854,https://cs.stanford.edu/people/rak248/VG_100K_2/2394806.jpg,1303368,What is draped over the end of the sofa?,,,,,,
272,Daytime.,2398044.jpg,2394806,26854,https://cs.stanford.edu/people/rak248/VG_100K_2/2394806.jpg,796992,What time of day is it?,,,,,,
273,Grey.,2318799.jpg,2394796,26863,https://cs.stanford.edu/people/rak248/VG_100K_2/2394796.jpg,905961,What color is the painting on the wall?,,,,,,
274,Grey.,2406644.jpg,2394796,26863,https://cs.stanford.edu/people/rak248/VG_100K_2/2394796.jpg,1189742,What color are the elephants?,,,,,,
275,Stop sign.,2389398.jpg,2394796,26863,https://cs.stanford.edu/people/rak248/VG_100K_2/2394796.jpg,1418310,What type of sign is shown?,,,,,,
276,Large mirror.,2360384.jpg,2394739,26919,https://cs.stanford.edu/people/rak248/VG_100K_2/2394739.jpg,1640652,What is in the bathroom?,,,,,,
277,Seven.,150330.jpg,2394739,26919,https://cs.stanford.edu/people/rak248/VG_100K_2/2394739.jpg,1000916,"How many windows are on the side of the bus, not including the door window?",,,,,,
278,Facing away from the mirror.,2358326.jpg,2394739,26919,https://cs.stanford.edu/people/rak248/VG_100K_2/2394739.jpg,1598309,What is the man doing in this photo?,,,,,,
279,Afternoon.,2334430.jpg,2394678,26980,https://cs.stanford.edu/people/rak248/VG_100K_2/2394678.jpg,719888,When is this?,,,,,,
280,Trash can.,2399966.jpg,2394678,26980,https://cs.stanford.edu/people/rak248/VG_100K_2/2394678.jpg,1211904,What is under the counter?,,,,,,
281,Cushion.,2397744.jpg,2394678,26980,https://cs.stanford.edu/people/rak248/VG_100K_2/2394678.jpg,1587555,What is on the chair?,,,,,,
282,1.,2407236.jpg,2394614,27042,https://cs.stanford.edu/people/rak248/VG_100K_2/2394614.jpg,1202122,How many people are shown?,,,,,,
283,Green.,2406990.jpg,2394614,27042,https://cs.stanford.edu/people/rak248/VG_100K_2/2394614.jpg,1196981,What color are the trees?,,,,,,
284,Daytime.,2404776.jpg,2394614,27042,https://cs.stanford.edu/people/rak248/VG_100K_2/2394614.jpg,407812,When was this picture taken?,,,,,,
285,On a sidewalk.,2403714.jpg,2394592,27063,https://cs.stanford.edu/people/rak248/VG_100K_2/2394592.jpg,473583,Where was this photo taken?,,,,,,
286,Black.,2331745.jpg,2394592,27063,https://cs.stanford.edu/people/rak248/VG_100K_2/2394592.jpg,850018,What color are the cows spots?,,,,,,
287,Bent over.,2358540.jpg,2394592,27063,https://cs.stanford.edu/people/rak248/VG_100K_2/2394592.jpg,1602792,What is the position of the person?,,,,,,
288,In a pen.,2374727.jpg,2394585,27070,https://cs.stanford.edu/people/rak248/VG_100K_2/2394585.jpg,1932383,Where are the sheep?,,,,,,
289,White.,2409181.jpg,2394585,27070,https://cs.stanford.edu/people/rak248/VG_100K_2/2394585.jpg,1076411,What color is the man's shirt?,,,,,,
290,Trees.,2359736.jpg,2394585,27070,https://cs.stanford.edu/people/rak248/VG_100K_2/2394585.jpg,1627140,What is behind man?,,,,,,
291,Caucasian.,2403718.jpg,2394573,27081,https://cs.stanford.edu/people/rak248/VG_100K_2/2394573.jpg,1288733,What ethnicity is the man?,,,,,,
292,Tennis ball.,2407850.jpg,2394573,27081,https://cs.stanford.edu/people/rak248/VG_100K_2/2394573.jpg,1047117,What is yellow in the air?,,,,,,
293,The child.,2400089.jpg,2394573,27081,https://cs.stanford.edu/people/rak248/VG_100K_2/2394573.jpg,603387,Who has their pants down?,,,,,,
294,Store lights.,2370061.jpg,2394554,27099,https://cs.stanford.edu/people/rak248/VG_100K_2/2394554.jpg,1835472,What is being reflected onto the wet concrete?,,,,,,
295,One.,2344247.jpg,2394554,27099,https://cs.stanford.edu/people/rak248/VG_100K_2/2394554.jpg,776025,How many bears are shown?,,,,,,
296,Small.,2395019.jpg,2394554,27099,https://cs.stanford.edu/people/rak248/VG_100K_2/2394554.jpg,1446169,What size is the pizza?,,,,,,
297,On the long thin bowl.,2371492.jpg,2394457,27191,https://cs.stanford.edu/people/rak248/VG_100K_2/2394457.jpg,1864820,Where are the carrots?,,,,,,
298,The boat.,2352687.jpg,2394457,27191,https://cs.stanford.edu/people/rak248/VG_100K_2/2394457.jpg,769272,Who is the subject of the photo?,,,,,,
299,The girl wearing white pants.,2369970.jpg,2394457,27191,https://cs.stanford.edu/people/rak248/VG_100K_2/2394457.jpg,1833869,Who is wearing a white bracelet?,,,,,,
0,To see on the side of the train.,2395849.jpg,2394251,27389,https://cs.stanford.edu/people/rak248/VG_100K_2/2394251.jpg,606775,Why is the man looking out of the window?,,,,,,
1,Octagon.,2397011.jpg,2394251,27389,https://cs.stanford.edu/people/rak248/VG_100K_2/2394251.jpg,1392357,What shape is stop sign?,,,,,,
2,A frisbee.,2392354.jpg,2394251,27389,https://cs.stanford.edu/people/rak248/VG_100K_2/2394251.jpg,1559071,What is in the air?,,,,,,
3,Flags.,2370592.jpg,2394141,27494,https://cs.stanford.edu/people/rak248/VG_100K_2/2394141.jpg,1845630,What is above the concrete wall?,,,,,,
4,A rock wall.,2374333.jpg,2394141,27494,https://cs.stanford.edu/people/rak248/VG_100K_2/2394141.jpg,1923923,What type of wall encloses the animals?,,,,,,
5,Stalls.,2395543.jpg,2394141,27494,https://cs.stanford.edu/people/rak248/VG_100K_2/2394141.jpg,1448929,What separates the cows?,,,,,,
6,Right side.,2390563.jpg,2394095,27536,https://cs.stanford.edu/people/rak248/VG_100K_2/2394095.jpg,1549619,Where are the doors on plane?,,,,,,
7,A small fence.,2361673.jpg,2394095,27536,https://cs.stanford.edu/people/rak248/VG_100K_2/2394095.jpg,1666341,What is around the statue's platform?,,,,,,
8,The bridge is red.,2368437.jpg,2394095,27536,https://cs.stanford.edu/people/rak248/VG_100K_2/2394095.jpg,1802530,What pigment is the bridge?,,,,,,
9,Ostriches.,2389711.jpg,2394075,27554,https://cs.stanford.edu/people/rak248/VG_100K_2/2394075.jpg,1481426,What kind of birds are there?,,,,,,
10,A calf.,2348958.jpg,2394075,27554,https://cs.stanford.edu/people/rak248/VG_100K_2/2394075.jpg,388467,Who is next to the big cow?,,,,,,
11,Stripes.,2369032.jpg,2394075,27554,https://cs.stanford.edu/people/rak248/VG_100K_2/2394075.jpg,1814960,What is on the zebra?,,,,,,
12,At a restaurant.,2374708.jpg,2393932,27689,https://cs.stanford.edu/people/rak248/VG_100K_2/2393932.jpg,1932016,Where are the people gathering?,,,,,,
13,Red.,2404444.jpg,2393932,27689,https://cs.stanford.edu/people/rak248/VG_100K_2/2393932.jpg,791872,What color is the bike?,,,,,,
14,Steam.,2346113.jpg,2393932,27689,https://cs.stanford.edu/people/rak248/VG_100K_2/2393932.jpg,582605,Why is the photo foggy?,,,,,,
15,Portable food cart.,2389709.jpg,2393881,27739,https://cs.stanford.edu/people/rak248/VG_100K_2/2393881.jpg,1420024,What is this thing?,,,,,,
16,The man and the woman.,2362344.jpg,2393881,27739,https://cs.stanford.edu/people/rak248/VG_100K_2/2393881.jpg,825549,Who is sitting?,,,,,,
17,During the day.,2397366.jpg,2393881,27739,https://cs.stanford.edu/people/rak248/VG_100K_2/2393881.jpg,733533,When was the photo taken?,,,,,,
18,3.,2355165.jpg,2393829,27791,https://cs.stanford.edu/people/rak248/VG_100K_2/2393829.jpg,831287,How many people are in front of the counter?,,,,,,
19,A calendar.,2390680.jpg,2393829,27791,https://cs.stanford.edu/people/rak248/VG_100K_2/2393829.jpg,1359086,What is behind the mouse pad?,,,,,,
20,41.,2364569.jpg,2393829,27791,https://cs.stanford.edu/people/rak248/VG_100K_2/2393829.jpg,1724563,What is the player's number?,,,,,,
21,The visible rice.,2390460.jpg,2393785,27834,https://cs.stanford.edu/people/rak248/VG_100K_2/2393785.jpg,1357760,What is next to the broccoli?,,,,,,
22,Orange.,2406594.jpg,2393785,27834,https://cs.stanford.edu/people/rak248/VG_100K_2/2393785.jpg,1188604,What color wristband is the man wearing?,,,,,,
23,Snow.,2414800.jpg,2393785,27834,https://cs.stanford.edu/people/rak248/VG_100K_2/2393785.jpg,1031184,What is on the tree branch?,,,,,,
24,On the heads of the giraffes.,2375716.jpg,2393753,27864,https://cs.stanford.edu/people/rak248/VG_100K_2/2393753.jpg,1951477,Where are the horns?,,,,,,
25,Daytime.,2352470.jpg,2393753,27864,https://cs.stanford.edu/people/rak248/VG_100K_2/2393753.jpg,705474,When was the picture taken?,,,,,,
26,Two baskets.,2394468.jpg,2393753,27864,https://cs.stanford.edu/people/rak248/VG_100K_2/2393753.jpg,607890,What is hanging off the bike?,,,,,,
27,On the sand.,2397204.jpg,2393745,27872,https://cs.stanford.edu/people/rak248/VG_100K_2/2393745.jpg,1393423,Where are footprints?,,,,,,
28,Black shade.,2399458.jpg,2393745,27872,https://cs.stanford.edu/people/rak248/VG_100K_2/2393745.jpg,1468882,What object sits on top of the green metal lamp base?,,,,,,
29,Gray concrete.,2374359.jpg,2393745,27872,https://cs.stanford.edu/people/rak248/VG_100K_2/2393745.jpg,1924397,What material is the parking garage?,,,,,,
30,Daytime.,2352502.jpg,2393638,27977,https://cs.stanford.edu/people/rak248/VG_100K_2/2393638.jpg,257618,When was the picture taken?,,,,,,
31,Table.,2400913.jpg,2393638,27977,https://cs.stanford.edu/people/rak248/VG_100K_2/2393638.jpg,1232406,What is the vase on?,,,,,,
32,Green.,2374925.jpg,2393638,27977,https://cs.stanford.edu/people/rak248/VG_100K_2/2393638.jpg,815474,What color is the grass?,,,,,,
33,A bed frame.,2398434.jpg,2393603,28007,https://cs.stanford.edu/people/rak248/VG_100K_2/2393603.jpg,1400625,What is the mattress sitting on?,,,,,,
34,Away from the camera.,2370587.jpg,2393603,28007,https://cs.stanford.edu/people/rak248/VG_100K_2/2393603.jpg,1845541,What direction are the jts flying?,,,,,,
35,Horse.,2366153.jpg,2393603,28007,https://cs.stanford.edu/people/rak248/VG_100K_2/2393603.jpg,1755855,What pulls the carriage?,,,,,,
36,A kid.,2392665.jpg,2393561,28046,https://cs.stanford.edu/people/rak248/VG_100K_2/2393561.jpg,1560782,Who is on the horse?,,,,,,
37,The camera.,2330693.jpg,2393561,28046,https://cs.stanford.edu/people/rak248/VG_100K_2/2393561.jpg,594923,What is the dog looking at?,,,,,,
38,Concrete.,2364511.jpg,2393561,28046,https://cs.stanford.edu/people/rak248/VG_100K_2/2393561.jpg,695833,What is the bench sitting on?,,,,,,
39,A tennis court.,2368360.jpg,2393388,28215,https://cs.stanford.edu/people/rak248/VG_100K_2/2393388.jpg,1800890,Where is the woman standing?,,,,,,
40,Brown and white.,2412206.jpg,2393388,28215,https://cs.stanford.edu/people/rak248/VG_100K_2/2393388.jpg,158736,What color is the giraffe?,,,,,,
41,Red.,2412116.jpg,2393388,28215,https://cs.stanford.edu/people/rak248/VG_100K_2/2393388.jpg,159461,What color is the restaurant sign?,,,,,,
42,White.,2388147.jpg,2393274,28323,https://cs.stanford.edu/people/rak248/VG_100K_2/2393274.jpg,1345371,What is the clock faces' color?,,,,,,
43,In the woman's hand.,107960.jpg,2393274,28323,https://cs.stanford.edu/people/rak248/VG_100K_2/2393274.jpg,996180,Where is the purple cell phone?,,,,,,
44,Railroad.,2391515.jpg,2393274,28323,https://cs.stanford.edu/people/rak248/VG_100K_2/2393274.jpg,1429689,What is visible?,,,,,,
45,A dome.,2363031.jpg,2393240,28355,https://cs.stanford.edu/people/rak248/VG_100K_2/2393240.jpg,1693135,What is on the top of the clock tower?,,,,,,
46,White letters.,2397857.jpg,2393240,28355,https://cs.stanford.edu/people/rak248/VG_100K_2/2393240.jpg,1588177,What is on the green wall?,,,,,,
47,It looks cloudy with some sunshine.,2333788.jpg,2393240,28355,https://cs.stanford.edu/people/rak248/VG_100K_2/2393240.jpg,656418,How does the weather look?,,,,,,
48,Eating.,2397321.jpg,2393208,28387,https://cs.stanford.edu/people/rak248/VG_100K_2/2393208.jpg,1585306,What is the giraffe doing?,,,,,,
49,One.,2330033.jpg,2393208,28387,https://cs.stanford.edu/people/rak248/VG_100K_2/2393208.jpg,595456,How many bikes?,,,,,,
50,3.,2413319.jpg,2393208,28387,https://cs.stanford.edu/people/rak248/VG_100K_2/2393208.jpg,1145709,How many people are standing?,,,,,,
51,Grey.,2411867.jpg,2393143,28448,https://cs.stanford.edu/people/rak248/VG_100K_2/2393143.jpg,1112940,What color is the tie?,,,,,,
52,A person.,2360359.jpg,2393143,28448,https://cs.stanford.edu/people/rak248/VG_100K_2/2393143.jpg,379340,Who is in the photo?,,,,,,
53,Between the man and woman.,2414757.jpg,2393143,28448,https://cs.stanford.edu/people/rak248/VG_100K_2/2393143.jpg,1030331,Where is the red handbag?,,,,,,
54,Elephants.,2375940.jpg,2392942,28639,https://cs.stanford.edu/people/rak248/VG_100K_2/2392942.jpg,1956227,What animals are shown?,,,,,,
55,Raining.,2401514.jpg,2392942,28639,https://cs.stanford.edu/people/rak248/VG_100K_2/2392942.jpg,1245699,How is the weather?,,,,,,
56,Squatting.,2360756.jpg,2392942,28639,https://cs.stanford.edu/people/rak248/VG_100K_2/2392942.jpg,1648363,How is the woman situated?,,,,,,
57,Red.,2401153.jpg,2392841,28737,https://cs.stanford.edu/people/rak248/VG_100K_2/2392841.jpg,1237857,What is the main color of the wine?,,,,,,
58,Water.,2377243.jpg,2392841,28737,https://cs.stanford.edu/people/rak248/VG_100K_2/2392841.jpg,1981802,What is the zebra walking in?,,,,,,
59,A model train set.,2414906.jpg,2392841,28737,https://cs.stanford.edu/people/rak248/VG_100K_2/2392841.jpg,137148,What is in the picture?,,,,,,
60,Down stairs.,2394745.jpg,2392777,28799,https://cs.stanford.edu/people/rak248/VG_100K_2/2392777.jpg,1571764,What direction are the passengers on the plane going?,,,,,,
61,A table.,2344652.jpg,2392777,28799,https://cs.stanford.edu/people/rak248/VG_100K_2/2392777.jpg,583785,What are the plates on?,,,,,,
62,During the day.,2361785.jpg,2392777,28799,https://cs.stanford.edu/people/rak248/VG_100K_2/2392777.jpg,825987,When was the picture taken?,,,,,,
63,Jockey.,2410888.jpg,2392689,28886,https://cs.stanford.edu/people/rak248/VG_100K_2/2392689.jpg,1318263,What is a person called who rides one of these animals professionally?,,,,,,
64,Bottles.,2411351.jpg,2392689,28886,https://cs.stanford.edu/people/rak248/VG_100K_2/2392689.jpg,1327670,What is the raft made of?,,,,,,
65,The wing.,2394516.jpg,2392689,28886,https://cs.stanford.edu/people/rak248/VG_100K_2/2392689.jpg,1570303,What is silver in color?,,,,,,
66,Rectangular.,2358765.jpg,2392680,28895,https://cs.stanford.edu/people/rak248/VG_100K_2/2392680.jpg,1607931,What are the shapes of the signs?,,,,,,
67,Bench.,2369193.jpg,2392680,28895,https://cs.stanford.edu/people/rak248/VG_100K_2/2392680.jpg,564187,Where is the couple sitting?,,,,,,
68,Brown.,2344104.jpg,2392680,28895,https://cs.stanford.edu/people/rak248/VG_100K_2/2392680.jpg,840141,What color is the teddy bear?,,,,,,
69,Red and black.,2356981.jpg,2392561,29010,https://cs.stanford.edu/people/rak248/VG_100K_2/2392561.jpg,318060,What color is the man with the computer's coat?,,,,,,
70,Pizza.,2415662.jpg,2392561,29010,https://cs.stanford.edu/people/rak248/VG_100K_2/2392561.jpg,936447,What food is shown?,,,,,,
71,A rubber squeegee.,2364342.jpg,2392561,29010,https://cs.stanford.edu/people/rak248/VG_100K_2/2392561.jpg,1720117,What is the man holding?,,,,,,
72,Paul W Bryant.,2411810.jpg,2392513,29055,https://cs.stanford.edu/people/rak248/VG_100K_2/2392513.jpg,1112393,What is written on the sign?,,,,,,
73,Two.,2376736.jpg,2392513,29055,https://cs.stanford.edu/people/rak248/VG_100K_2/2392513.jpg,430128,How many people are in the photo?,,,,,,
74,Black triangles.,2349602.jpg,2392513,29055,https://cs.stanford.edu/people/rak248/VG_100K_2/2392513.jpg,259941,What pattern is on the tablecloth?,,,,,,
75,Water.,2394216.jpg,2392340,29220,https://cs.stanford.edu/people/rak248/VG_100K_2/2392340.jpg,1568545,What is inside the toilet?,,,,,,
76,Left of the red radish.,2358125.jpg,2392340,29220,https://cs.stanford.edu/people/rak248/VG_100K_2/2392340.jpg,1594508,Where are the green pears?,,,,,,
77,A sport.,2364282.jpg,2392340,29220,https://cs.stanford.edu/people/rak248/VG_100K_2/2392340.jpg,248231,What is baseball?,,,,,,
78,Roundly.,2394266.jpg,2392282,29277,https://cs.stanford.edu/people/rak248/VG_100K_2/2392282.jpg,1504520,How is the plate shaped?,,,,,,
